MODEL,N_ROWS,RMSE,MAE,R2,PEARSON_R,BIAS,PREDICTION_SD_RATIO
SPATIAL_NORMALIZATION_NO_DROPOUT,140856,1.292631,1.128608,-0.670895,0.259002,-0.848408,0.124168
SPATIAL_NORMALIZATION_MILD_DATE_DROPOUT,140856,1.002273,0.773468,-0.004551,0.254447,-0.22909,0.124788
