MODEL,N_ROWS,RMSE,MAE,R2,PEARSON_R,BIAS,PREDICTION_SD_RATIO
SPATIAL_NORMALIZATION_NO_DROPOUT,110034,0.784015,0.525169,0.385321,0.624839,0.02559,0.691535
SPATIAL_NORMALIZATION_MILD_DATE_DROPOUT,110034,0.777308,0.518798,0.395792,0.63724,0.019817,0.736693
